rpi,wp,pyth,cwg,tpf,tpa,nv,nl,avgmv
14,11,13,13,18,22,12,20,14
16,18,20,21,23,26,18,16,18
22,19,22,24,24,27,20,16,19
4,10,9,13,16,20,9,17,12
6,12,10,21,20,25,14,20,13
10,12,12,15,16,20,11,17,14
4,8,5,19,21,28,10,24,9
11,14,14,20,21,25,15,20,15
12,14,14,19,22,27,15,18,15
25,24,26,23,27,29,24,11,23
18,14,17,16,23,27,16,20,17
13,15,14,25,21,25,16,18,15
3,4,1,13,17,25,7,26,5
21,18,22,18,25,28,19,17,20
13,13,15,18,22,26,14,20,15
5,5,4,15,18,24,8,25,8
19,15,18,20,23,27,17,19,17
13,16,16,26,23,27,17,18,16
14,14,15,22,21,25,15,19,16
18,14,17,17,22,26,15,19,16
13,19,21,18,21,24,17,13,19
4,9,7,21,20,26,12,24,11
8,9,8,11,13,17,8,15,12
11,18,18,5,5,5,4,3,17
16,16,17,21,23,26,17,17,17
22,18,19,26,24,28,19,16,18
13,17,19,24,22,25,18,17,17
14,14,14,23,21,26,15,19,15
16,15,16,20,22,26,16,19,16
8,9,8,15,19,25,11,22,11
4,3,2,3,5,7,1,7,6
13,18,19,22,21,24,18,16,17
12,12,12,20,22,27,14,21,14
20,24,26,26,23,24,24,10,22
21,20,23,15,24,27,20,14,20
10,7,7,20,21,27,10,24,10
9,10,11,19,21,26,12,21,13
21,19,21,22,24,27,20,15,19
5,7,6,18,21,27,10,24,10
11,11,11,21,22,28,13,23,13
4,3,4,5,6,9,2,9,8
6,5,4,13,17,23,7,22,8
10,15,16,20,22,26,16,18,16
7,8,7,16,19,25,10,23,11
20,18,19,25,24,27,19,17,18
12,14,14,20,22,27,15,19,15
4,2,1,9,20,29,6,29,4
24,23,27,20,25,26,24,12,24
6,5,4,13,18,24,8,24,8
21,17,21,17,24,27,18,17,19
14,12,11,20,21,26,13,21,13
8,11,10,16,20,25,11,20,13
16,24,24,26,24,25,23,10,21
8,10,9,18,20,26,12,22,12
20,15,16,18,24,28,16,19,16
17,15,17,21,22,26,16,18,16
8,9,8,17,17,22,10,22,12
26,25,27,20,26,27,25,10,25
8,12,10,20,21,27,14,22,13
10,12,12,18,19,23,13,19,14
20,23,25,26,25,27,23,12,22
6,7,5,6,6,8,2,7,9
10,11,12,19,22,27,13,21,13
11,13,14,17,23,27,14,20,15
5,3,3,13,19,26,6,27,6
6,6,5,16,17,23,8,25,9
17,21,23,21,23,25,20,12,20
20,20,21,28,24,26,21,15,19
14,14,15,24,23,27,16,20,15
7,11,8,20,19,25,13,22,11
11,12,13,15,17,21,11,17,15
17,10,11,18,22,27,13,23,13
15,16,19,20,22,25,17,18,17
14,11,11,19,22,27,13,23,13
17,18,20,22,22,25,19,16,18
29,29,29,20,29,28,29,6,29
13,9,10,13,23,29,11,25,12
8,10,9,19,21,26,11,22,12
9,11,10,19,20,26,12,20,12
11,10,9,19,21,26,12,23,12
10,10,10,18,21,26,11,22,12
13,9,10,18,19,24,11,22,12
3,1,1,2,4,6,0,6,3
8,8,6,19,17,22,9,20,10
12,15,15,22,22,27,16,18,15
15,12,12,24,22,27,14,21,14
8,10,9,22,22,28,12,23,12
14,15,15,24,23,27,17,19,16
9,8,8,19,22,28,11,24,11
6,10,9,6,7,8,4,7,12
24,23,27,16,27,27,24,12,25
5,8,5,21,21,28,11,25,9
10,9,8,20,21,27,11,24,12
21,17,19,23,24,27,18,18,18
11,6,5,16,20,27,9,27,9
17,17,18,24,24,28,18,18,17
9,9,9,17,20,25,11,22,12
18,17,19,19,23,27,18,17,18
9,10,9,18,21,27,12,22,12
8,9,9,13,14,18,7,15,12
17,19,21,23,23,26,20,15,19
24,21,25,20,24,25,21,13,22
21,16,17,24,23,27,17,19,17
12,13,15,19,22,26,15,20,16
21,15,19,17,24,28,17,19,18
22,27,28,20,26,26,26,7,26
3,5,3,17,19,27,8,25,6
8,15,16,25,22,26,17,19,16
8,9,7,22,21,27,12,24,11
