@relation training_data
@attribute RPI0 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29}
@attribute PYTH0 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29}
@attribute CWG0 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29}
@attribute AVG0 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29}
@attribute RPI1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29}
@attribute PYTH1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29}
@attribute CWG1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29}
@attribute AVG1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29}
@attribute W {HIGH_SEED, LOW_SEED}
@data
22,29,18,21,22,29,17,22,HIGH_SEED
29,29,21,28,18,28,17,16,HIGH_SEED
21,29,22,21,25,29,19,23,HIGH_SEED
24,29,19,23,18,19,19,16,HIGH_SEED
24,29,19,24,25,29,24,23,HIGH_SEED
24,29,26,22,18,23,25,16,HIGH_SEED
27,29,19,26,23,29,20,23,HIGH_SEED
23,29,15,24,15,0,21,12,HIGH_SEED
24,29,18,25,18,6,21,16,LOW_SEED
23,29,19,22,21,29,22,20,HIGH_SEED
22,29,24,21,21,29,18,19,LOW_SEED
23,29,23,22,17,9,17,15,HIGH_SEED
27,29,15,29,24,29,22,24,HIGH_SEED
24,29,20,23,20,29,18,19,HIGH_SEED
29,29,17,29,19,3,17,16,HIGH_SEED
29,29,24,29,16,4,17,14,HIGH_SEED
22,29,12,21,21,29,25,20,HIGH_SEED
23,29,18,22,19,29,19,20,HIGH_SEED
24,29,16,23,28,29,17,27,LOW_SEED
21,29,24,18,18,26,17,16,HIGH_SEED
25,29,17,25,20,29,29,17,HIGH_SEED
21,29,22,21,17,10,19,16,HIGH_SEED
25,29,23,24,20,29,22,19,HIGH_SEED
25,29,21,24,16,2,19,14,HIGH_SEED
25,29,29,23,18,28,20,17,HIGH_SEED
24,29,18,24,21,29,22,21,HIGH_SEED
19,21,21,17,25,29,25,24,HIGH_SEED
23,29,19,22,20,29,22,20,HIGH_SEED
26,29,21,25,19,28,22,17,HIGH_SEED
27,29,27,25,17,19,20,16,HIGH_SEED
18,12,15,16,22,29,16,21,HIGH_SEED
26,29,17,25,22,29,22,20,HIGH_SEED
29,29,21,28,22,29,18,21,LOW_SEED
24,29,19,23,21,29,22,21,LOW_SEED
24,29,26,22,24,29,19,24,HIGH_SEED
23,29,15,24,27,29,19,26,LOW_SEED
23,29,19,22,18,6,21,16,HIGH_SEED
23,29,23,22,21,29,18,19,LOW_SEED
24,29,20,23,27,29,15,29,LOW_SEED
29,29,24,29,29,29,17,29,HIGH_SEED
23,29,18,22,22,29,12,21,LOW_SEED
21,29,24,18,28,29,17,27,LOW_SEED
21,29,22,21,25,29,17,25,HIGH_SEED
25,29,21,24,25,29,23,24,LOW_SEED
24,29,18,24,25,29,29,23,LOW_SEED
23,29,19,22,19,21,21,17,HIGH_SEED
27,29,27,25,26,29,21,25,HIGH_SEED
26,29,17,25,18,12,15,16,HIGH_SEED
21,29,22,21,22,29,18,21,HIGH_SEED
27,29,19,26,24,29,26,22,HIGH_SEED
21,29,18,19,23,29,19,22,LOW_SEED
29,29,24,29,27,29,15,29,LOW_SEED
28,29,17,27,22,29,12,21,LOW_SEED
25,29,23,24,21,29,22,21,HIGH_SEED
23,29,19,22,25,29,29,23,HIGH_SEED
26,29,17,25,27,29,27,25,HIGH_SEED
27,29,19,26,21,29,22,21,HIGH_SEED
27,29,15,29,23,29,19,22,HIGH_SEED
